Transaction_ID,Date,Farmer_ID,County,Sub_County,Trees_Planted,Survival_Rate_Pct,Mpesa_Disbursement_KES,Carbon_Sequestration_MT
TXN-1001,2026-01-15,FMR-8832,Kakamega,Shinyalu,150,0.92,12000,4.5
TXN-1002,2026-01-18,FMR-4119,Nakuru,Molo,320,0.88,25600,9.6
TXN-1003,2026-02-10,FMR-8832,Kakamega,Shinyalu,0,0.92,4500,4.5
TXN-1004,2026-02-12,FMR-2091,Nyeri,Othaya,85,0.95,7300,2.8
TXN-1005,2026-02-28,FMR-5541,Meru,Imenti South,500,0.74,32000,11.2
TXN-1006,2026-03-05,FMR-4119,Nakuru,Molo,0,0.85,6000,9.1
TXN-1007,2026-03-22,FMR-1044,Kilifi,Ganze,210,0.61,10500,3.9
TXN-1008,2026-04-02,FMR-2091,Nyeri,Othaya,40,0.94,3500,4.1
TXN-1009,2026-04-19,FMR-9912,Kwaf,Matuga,180,0.89,14400,5.2
TXN-1010,2026-05-01,FMR-5541,Meru,Imenti South,0,0.72,8000,10.8
